Peroxisome	Peroxisome	peroxisome.svg	p
Mitochondria	Mitochondria	mitochondrion.svg	m
Lysosome	Lysosome	lysosome.svg	l
Endoplasmic reticulum	Endoplasmic reticulum	er.svg	r
Golgi apparatus	Golgi apparatus	golgi.svg	g
Nucleus	Nucleus	nucleus.svg	n
Cytosol	Cytosol_1	cytosol_1.svg	c1
Cytosol	Cytosol_2	cytosol_2.svg	c2
Cytosol	Cytosol_3	cytosol_3.svg	c3
Cytosol	Cytosol_4	cytosol_4.svg	c4
Cytosol	Cytosol_5	cytosol_5.svg	c5
Cytosol	Cytosol_6	cytosol_6.svg	c6
