HMDB ID;Name;Chemical Formula;Monoisotopic Mass;Average Mass;
HMDB63746;TG(i-20:0/a-13:0/20:0);C56H108O6;876.8145912;877.474;
HMDB63747;TG(20:0/i-17:0/i-20:0);C60H116O6;932.8771915;933.582;
HMDB63748;TG(i-20:0/10:0/17:0);C50H96O6;792.7206908;793.312;
HMDB63749;TG(20:0/20:0/16:0);C59H114O6;918.8615414;919.5329;
HMDB63750;TG(19:0/a-21:0/20:0);C63H122O6;974.9241416;975.663;
HMDB63751;TG(i-20:0/a-13:0/12:0);C48H92O6;764.6893907;765.258;
HMDB63752;TG(i-20:0/16:0/a-17:0);C56H108O6;876.8145912;877.474;
HMDB63753;TG(20:0/i-13:0/22:0);C58H112O6;904.8458913;905.528;
HMDB63754;TG(20:0/i-16:0/i-18:0);C57H110O6;890.8302413;891.501;
HMDB63755;TG(19:0/22:0/a-21:0);C65H126O6;1002.955442;1003.717;
HMDB63756;TG(i-19:0/22:0/13:0);C57H110O6;890.8302413;891.501;
HMDB63757;TG(19:0/22:0/i-13:0);C57H110O6;890.8302413;891.501;
HMDB63758;TG(i-19:0/a-25:0/i-24:0);C71H138O6;1087.049342;1087.879;
HMDB63759;TG(20:0/a-17:0/i-24:0);C64H124O6;988.9397917;989.69;
HMDB63760;TG(20:0/i-12:0/i-24:0);C59H114O6;918.8615414;919.555;
HMDB63761;TG(i-20:0/14:0/i-21:0);C58H112O6;904.8458913;905.528;
HMDB63762;TG(20:0/19:0/i-20:0);C62H120O6;960.9084916;961.636;
HMDB63763;TG(20:0/14:0/15:0);C52H100O6;820.7519909;821.366;
HMDB63764;TG(20:0/a-15:0/13:0);C51H98O6;806.7363409;807.339;
HMDB63765;TG(i-20:0/8:0/a-15:0);C46H88O6;736.6580906;737.204;
HMDB63766;TG(i-19:0/a-21:0/i-12:0);C55H106O6;862.7989411;863.447;
HMDB63767;TG(i-19:0/21:0/21:0);C64H124O6;988.9397917;989.69;
HMDB63768;TG(19:0/a-25:0/a-15:0);C62H120O6;960.9084916;961.636;
HMDB63769;TG(20:0/12:0/i-21:0);C56H108O6;876.8145912;877.474;
HMDB63770;TG(20:0/i-19:0/22:0);C64H124O6;988.9397917;989.69;
HMDB63771;TG(20:0/a-13:0/14:0);C50H96O6;792.7206908;793.312;
HMDB63772;TG(20:0/16:0/i-14:0);C53H102O6;834.767641;835.393;
HMDB63773;TG(20:0/19:0/16:0);C58H112O6;904.8458913;905.528;
HMDB63774;TG(i-19:0/22:0/a-15:0);C59H114O6;918.8615414;919.555;
HMDB63775;TG(i-20:0/12:0/a-21:0);C56H108O6;876.8145912;877.474;
HMDB63776;TG(20:0/17:0/15:0);C55H106O6;862.7989411;863.447;
HMDB63777;TG(20:0/15:0/i-14:0);C52H100O6;820.7519909;821.366;
HMDB63778;TG(20:0/10:0/i-16:0);C49H94O6;778.7050407;779.285;
HMDB63779;TG(20:0/i-13:0/i-20:0);C56H108O6;876.8145912;877.474;
HMDB63780;TG(i-20:0/14:0/i-12:0);C49H94O6;778.7050407;779.285;
HMDB63781;TG(20:0/17:0/i-13:0);C53H102O6;834.767641;835.393;
HMDB63782;TG(i-20:0/i-16:0/i-19:0);C58H112O6;904.8458913;905.528;
HMDB63783;TG(i-20:0/8:0/8:0);C39H74O6;638.5485401;639.015;
HMDB63784;TG(20:0/17:0/i-12:0);C52H100O6;820.7519909;821.366;
HMDB63785;TG(i-20:0/i-19:0/i-21:0);C63H122O6;974.9241416;975.663;
HMDB63786;TG(19:0/i-24:0/8:0);C54H104O6;848.7832911;849.42;
HMDB63787;TG(20:0/13:0/i-21:0);C57H110O6;890.8302413;891.501;
HMDB63788;TG(i-20:0/a-17:0/i-14:0);C54H104O6;848.7832911;849.42;
HMDB63789;TG(i-19:0/22:0/a-13:0);C57H110O6;890.8302413;891.501;
HMDB63790;TG(i-19:0/i-24:0/10:0);C56H108O6;876.8145912;877.474;
HMDB63791;TG(20:0/20:0/i-14:0);C57H110O6;890.8302413;891.501;
HMDB63792;TG(20:0/i-14:0/i-24:0);C61H118O6;946.8928415;947.609;
HMDB63793;TG(20:0/18:0/i-13:0);C54H104O6;848.7832911;849.42;
HMDB63794;TG(i-20:0/a-13:0/i-13:0);C49H94O6;778.7050407;779.285;
HMDB63795;TG(20:0/18:0/a-17:0);C58H112O6;904.8458913;905.528;
HMDB63796;TG(20:0/16:0/i-21:0);C60H116O6;932.8771915;933.582;
HMDB63797;TG(i-19:0/21:0/a-15:0);C58H112O6;904.8458913;905.528;
HMDB63798;TG(19:0/19:0/a-25:0);C66H128O6;1016.971092;1017.744;
HMDB63799;TG(19:0/a-21:0/10:0);C53H102O6;834.767641;835.393;
HMDB63800;TG(20:0/a-17:0/i-13:0);C53H102O6;834.767641;835.393;
HMDB63801;TG(i-20:0/a-17:0/14:0);C54H104O6;848.7832911;849.42;
HMDB63802;TG(20:0/17:0/a-21:0);C61H118O6;946.8928415;947.609;
HMDB63803;TG(19:0/21:0/21:0);C64H124O6;988.9397917;989.69;
HMDB63804;TG(i-20:0/8:0/a-17:0);C48H92O6;764.6893907;765.258;
HMDB63805;TG(20:0/i-19:0/i-21:0);C63H122O6;974.9241416;975.663;
HMDB63806;TG(20:0/15:0/21:0);C59H114O6;918.8615414;919.555;
