HMDB ID;Name;Chemical Formula;Monoisotopic Mass;Average Mass;
HMDB00001;1-Methylhistidine;C7H11N3O2;169.0851266;169.1811;
HMDB00002;1,3-Diaminopropane;C3H10N2;74.08439833;74.1249;
HMDB00005;2-Ketobutyric acid;C4H6O3;102.0316941;102.0886;
HMDB00008;2-Hydroxybutyric acid;C4H8O3;104.0473441;104.1045;
HMDB00010;2-Methoxyestrone;C19H24O3;300.1725446;300.3921;
HMDB00011;(R)-3-Hydroxybutyric acid;C4H8O3;104.0473441;104.1045;
HMDB00012;Deoxyuridine;C9H12N2O5;228.0746215;228.202;
HMDB00014;Deoxycytidine;C9H13N3O4;227.0906059;227.2172;
HMDB00015;Cortexolone;C21H30O4;346.2144094;346.4605;
HMDB00016;Deoxycorticosterone;C21H30O3;330.2194948;330.4611;
HMDB00017;4-Pyridoxic acid;C8H9NO4;183.0531578;183.1614;
HMDB00019;Alpha-ketoisovaleric acid;C5H8O3;116.0473441;116.1152;
HMDB00020;p-Hydroxyphenylacetic acid;C8H8O3;152.0473441;152.1473;
HMDB00021;Iodotyrosine;C9H10INO3;306.9705366;307.0851;
HMDB00022;3-Methoxytyramine;C9H13NO2;167.0946287;167.205;
HMDB00023;(S)-3-Hydroxyisobutyric acid;C4H8O3;104.0473441;104.1045;
HMDB00024;3-O-Sulfogalactosylceramide (d18:1/24:0);C48H93NO11S;891.6469335;892.317;
HMDB00026;Ureidopropionic acid;C4H8N2O3;132.0534921;132.1179;
HMDB00027;Tetrahydrobiopterin;C9H15N5O3;241.1174894;241.2471;
HMDB00030;Biotin;C10H16N2O3S;244.0881631;244.311;
HMDB00031;Androsterone;C19H30O2;290.2245802;290.4403;
HMDB00032;7-Dehydrocholesterol;C27H44O;384.339216;384.6377;
HMDB00033;Carnosine;C9H14N4O3;226.1065903;226.2325;
HMDB00034;Adenine;C5H5N5;135.0544952;135.1267;
HMDB00036;Taurocholic acid;C26H45NO7S;515.2916735;515.703;
HMDB00037;Aldosterone;C21H28O5;360.193674;360.444;
HMDB00038;Dihydrobiopterin;C9H13N5O3;239.1018393;239.2312;
HMDB00039;Butyric acid;C4H8O2;88.0524295;88.1051;
HMDB00042;Acetic acid;C2H4O2;60.02112937;60.052;
HMDB00043;Betaine;C5H11NO2;117.0789786;117.1463;
HMDB00044;Ascorbic acid;C6H8O6;176.032088;176.1241;
HMDB00045;Adenosine monophosphate;C10H14N5O7P;347.0630843;347.2212;
HMDB00048;Melibiose;C12H22O11;342.1162115;342.2965;
HMDB00050;Adenosine;C10H13N5O4;267.0967539;267.2413;
HMDB00051;Ammonia;H3N;17.0265491;17.0305;
HMDB00052;Argininosuccinic acid;C10H18N4O6;290.1226343;290.2731;
HMDB00053;Androstenedione;C19H26O2;286.1932801;286.4085;
HMDB00054;Bilirubin;C33H36N4O6;584.2634849;584.6621;
HMDB00055;Cellobiose;C12H22O11;342.1162115;342.2965;
HMDB00056;Beta-Alanine;C3H7NO2;89.04767847;89.0932;
HMDB00058;Cyclic AMP;C10H12N5O6P;329.0525197;329.2059;
HMDB00060;Acetoacetic acid;C4H6O3;102.0316941;102.0886;
HMDB00061;Adenosine 3',5'-diphosphate;C10H15N5O10P2;427.0294147;427.2011;
HMDB00062;L-Carnitine;C7H15NO3;161.1051934;161.1989;
HMDB00063;Cortisol;C21H30O5;362.2093241;362.4599;
HMDB00064;Creatine;C4H9N3O2;131.0694765;131.1332;
HMDB00067;Cholesterol;C27H46O;386.3548661;386.6535;
HMDB00068;Epinephrine;C9H13NO3;183.0895433;183.2044;
HMDB00070;Pipecolic acid;C6H11NO2;129.0789786;129.157;
HMDB00071;Deoxyinosine;C10H12N4O4;252.0858549;252.23;
HMDB00072;cis-Aconitic acid;C6H6O6;174.0164379;174.1082;
HMDB00073;Dopamine;C8H11NO2;153.0789786;153.1784;
HMDB00076;Dihydrouracil;C4H6N2O2;114.0429274;114.1026;
HMDB00077;Dehydroepiandrosterone;C19H28O2;288.2089301;288.4244;
HMDB00078;Cysteinylglycine;C5H10N2O3S;178.0412129;178.21;
HMDB00079;Dihydrothymine;C5H8N2O2;128.0585775;128.1292;
HMDB00082;Cytidine triphosphate;C9H16N3O14P3;482.9845118;483.1563;
HMDB00085;Deoxyguanosine;C10H13N5O4;267.0967539;267.2413;
HMDB00086;Glycerophosphocholine;C8H20NO6P;257.1028239;257.2213;
HMDB00087;Dimethylamine;C2H7N;45.05784923;45.0837;
HMDB00089;Cytidine;C9H13N3O5;243.0855205;243.2166;
HMDB00092;Dimethylglycine;C4H9NO2;103.0633285;103.1198;
HMDB00094;Citric acid;C6H8O7;192.0270026;192.1235;
HMDB00095;Cytidine monophosphate;C9H14N3O8P;323.051851;323.1965;
HMDB00097;Choline;C5H14NO;104.1075391;104.1708;
HMDB00098;D-Xylose;C5H10O5;150.0528234;150.1299;
HMDB00099;L-Cystathionine;C7H14N2O4S;222.0674276;222.262;
HMDB00101;Deoxyadenosine;C10H13N5O3;251.1018393;251.2419;
HMDB00107;Galactitol;C6H14O6;182.0790382;182.1718;
HMDB00108;Ethanol;C2H6O;46.04186481;46.0684;
HMDB00112;Gamma-Aminobutyric acid;C4H9NO2;103.0633285;103.1198;
HMDB00114;Glycerylphosphorylethanolamine;C5H14NO6P;215.0558737;215.1415;
HMDB00115;Glycolic acid;C2H4O3;76.01604399;76.0514;
HMDB00118;Homovanillic acid;C9H10O4;182.0579088;182.1733;
HMDB00119;Glyoxylic acid;C2H2O3;74.00039393;74.0355;
HMDB00121;Folic acid;C19H19N7O6;441.1396814;441.3975;
HMDB00122;D-Glucose;C6H12O6;180.0633881;180.1559;
HMDB00123;Glycine;C2H5NO2;75.03202841;75.0666;
HMDB00124;Fructose 6-phosphate;C6H13O9P;260.0297185;260.1358;
HMDB00125;Glutathione;C10H17N3O6S;307.083806;307.323;
HMDB00126;Glycerol 3-phosphate;C3H9O6P;172.0136745;172.0737;
HMDB00127;D-Glucuronic acid;C6H10O7;194.0426527;194.1394;
HMDB00128;Guanidoacetic acid;C3H7N3O2;117.0538265;117.1066;
HMDB00130;Homogentisic acid;C8H8O4;168.0422587;168.1467;
HMDB00131;Glycerol;C3H8O3;92.04734412;92.0938;
HMDB00132;Guanine;C5H5N5O;151.0494098;151.1261;
HMDB00133;Guanosine;C10H13N5O5;283.0916686;283.2407;
HMDB00134;Fumaric acid;C4H4O4;116.0109586;116.0722;
HMDB00138;Glycocholic acid;C26H43NO6;465.3090381;465.6227;
HMDB00139;Glyceric acid;C3H6O4;106.0266087;106.0773;
HMDB00140;Glucosylceramide;C48H93NO8;811.690119;812.2539;
HMDB00142;Formic acid;CH2O2;46.00547931;46.0254;
HMDB00143;D-Galactose;C6H12O6;180.0633881;180.1559;
HMDB00145;Estrone;C18H22O2;270.1619799;270.3661;
HMDB00148;L-Glutamic acid;C5H9NO4;147.0531578;147.1293;
HMDB00149;Ethanolamine;C2H7NO;61.05276385;61.0831;
HMDB00150;Gluconolactone;C6H10O6;178.0477381;178.14;
HMDB00151;Estradiol;C18H24O2;272.17763;272.382;
HMDB00152;Gentisic acid;C7H6O4;154.0266087;154.121;
HMDB00153;Estriol;C18H24O3;288.1725446;288.3814;
HMDB00156;L-Malic acid;C4H6O5;134.0215233;134.0874;
HMDB00157;Hypoxanthine;C5H4N4O;136.0385108;136.1115;
HMDB00158;L-Tyrosine;C9H11NO3;181.0738932;181.1885;
HMDB00159;L-Phenylalanine;C9H11NO2;165.0789786;165.1891;
HMDB00161;L-Alanine;C3H7NO2;89.04767847;89.0932;
HMDB00162;L-Proline;C5H9NO2;115.0633285;115.1305;
HMDB00163;D-Maltose;C12H22O11;342.1162115;342.2965;
HMDB00164;Methylamine;CH5N;31.04219917;31.0571;
HMDB00167;L-Threonine;C4H9NO3;119.0582432;119.1192;
HMDB00168;L-Asparagine;C4H8N2O3;132.0534921;132.1179;
HMDB00169;D-Mannose;C6H12O6;180.0633881;180.1559;
HMDB00172;L-Isoleucine;C6H13NO2;131.0946287;131.1729;
HMDB00174;L-Fucose;C6H12O5;164.0684735;164.1565;
HMDB00175;Inosinic acid;C10H13N4O8P;348.0470999;348.206;
HMDB00176;Maleic acid;C4H4O4;116.0109586;116.0722;
HMDB00177;L-Histidine;C6H9N3O2;155.0694765;155.1546;
HMDB00181;L-Dopa;C9H11NO4;197.0688078;197.1879;
HMDB00182;L-Lysine;C6H14N2O2;146.1055277;146.1876;
HMDB00186;Alpha-Lactose;C12H22O11;342.1162115;342.2965;
HMDB00187;L-Serine;C3H7NO3;105.0425931;105.0926;
HMDB00189;Inosine triphosphate;C10H15N4O14P3;507.9797607;508.1658;
HMDB00190;L-Lactic acid;C3H6O3;90.03169406;90.0779;
HMDB00191;L-Aspartic acid;C4H7NO4;133.0375077;133.1027;
HMDB00192;L-Cystine;C6H12N2O4S2;240.0238483;240.3;
HMDB00193;Isocitric acid;C6H8O7;192.0270026;192.1235;
HMDB00194;Anserine;C10H16N4O3;240.1222404;240.259;
HMDB00195;Inosine;C10H12N4O5;268.0807695;268.2261;
HMDB00197;Indoleacetic acid;C10H9NO2;175.0633285;175.184;
HMDB00201;L-Acetylcarnitine;C9H17NO4;203.115758;203.2356;
HMDB00202;Methylmalonic acid;C4H6O4;118.0266087;118.088;
HMDB00205;Phenylpyruvic acid;C9H8O3;164.0473441;164.158;
HMDB00206;N6-Acetyl-L-lysine;C8H16N2O3;188.1160924;188.2242;
HMDB00207;Oleic acid;C18H34O2;282.2558803;282.4614;
HMDB00208;Oxoglutaric acid;C5H6O5;146.0215233;146.0981;
HMDB00209;Phenylacetic acid;C8H8O2;136.0524295;136.1479;
HMDB00210;Pantothenic acid;C9H17NO5;219.1106727;219.235;
HMDB00211;Myoinositol;C6H12O6;180.0633881;180.1559;
HMDB00212;N-Acetylgalactosamine;C8H15NO6;221.0899372;221.2078;
HMDB00213;Myo-inositol 1-phosphate;C6H13O9P;260.0297185;260.1358;
HMDB00214;Ornithine;C5H12N2O2;132.0898776;132.161;
HMDB00215;N-Acetyl-D-glucosamine;C8H15NO6;221.0899372;221.2078;
HMDB00216;Norepinephrine;C8H11NO3;169.0738932;169.1778;
HMDB00217;NADP;C21H29N7O17P3;744.0832771;744.4129;
HMDB00218;Orotidylic acid;C10H13N2O11P;368.0256958;368.1908;
HMDB00220;Palmitic acid;C16H32O2;256.2402303;256.4241;
HMDB00221;NADPH;C21H30N7O17P3;745.0911021;745.4209;
HMDB00222;L-Palmitoylcarnitine;C23H45NO4;399.3348589;399.6077;
HMDB00223;Oxalacetic acid;C4H4O5;132.0058732;132.0716;
HMDB00224;O-Phosphoethanolamine;C2H8NO4P;141.0190943;141.063;
HMDB00225;Oxoadipic acid;C6H8O5;160.0371734;160.1247;
HMDB00226;Orotic acid;C5H4N2O4;156.0171066;156.0963;
HMDB00227;Mevalonic acid;C6H12O4;148.0735589;148.1571;
HMDB00228;Phenol;C6H6O;94.04186481;94.1112;
HMDB00229;Nicotinamide ribotide;C11H15N2O8P;334.056602;334.2192;
HMDB00230;N-Acetylneuraminic acid;C11H19NO9;309.1059812;309.2699;
HMDB00232;Quinolinic acid;C7H5NO4;167.0218577;167.1189;
HMDB00234;Testosterone;C19H28O2;288.2089301;288.4244;
HMDB00235;Thiamine;C12H17N4OS;265.1123069;265.355;
HMDB00237;Propionic acid;C3H6O2;74.03677944;74.0785;
HMDB00238;Sepiapterin;C9H11N5O3;237.0861892;237.2153;
HMDB00239;Pyridoxine;C8H11NO3;169.0738932;169.1778;
HMDB00240;Sulfite;O3S;79.95681456;80.063;
HMDB00241;Protoporphyrin IX;C34H34N4O4;562.2580056;562.6582;
HMDB00243;Pyruvic acid;C3H4O3;88.01604399;88.0621;
HMDB00244;Riboflavin;C17H20N4O6;376.1382844;376.3639;
HMDB00245;Porphobilinogen;C10H14N2O4;226.0953569;226.2292;
HMDB00246;Tetrahydrofuran;C4H8O;72.05751488;72.1057;
HMDB00247;Sorbitol;C6H14O6;182.0790382;182.1718;
HMDB00248;Thyroxine;C15H11I4NO4;776.6866815;776.87;
HMDB00250;Pyrophosphate;O7P2;173.9119254;173.9433;
HMDB00251;Taurine;C2H7NO3S;125.0146638;125.147;
HMDB00252;Sphingosine;C18H37NO2;299.2824294;299.4919;
HMDB00253;Pregnenolone;C21H32O2;316.2402303;316.4776;
HMDB00254;Succinic acid;C4H6O4;118.0266087;118.088;
HMDB00256;Squalene;C30H50;410.3912516;410.718;
HMDB00257;Thiosulfate;O3S2;111.9288852;112.128;
HMDB00258;Sucrose;C12H22O11;342.1162115;342.2965;
HMDB00259;Serotonin;C10H12N2O;176.094963;176.2151;
HMDB00262;Thymine;C5H6N2O2;126.0429274;126.1133;
HMDB00263;Phosphoenolpyruvic acid;C3H5O6P;167.9823744;168.042;
HMDB00265;Liothyronine;C15H12I3NO4;650.7900381;650.9735;
HMDB00267;Pyroglutamic acid;C5H7NO3;129.0425931;129.114;
HMDB00268;Tetrahydrocorticosterone;C21H34O4;350.2457096;350.4923;
HMDB00269;Sphinganine;C18H39NO2;301.2980795;301.5078;
HMDB00271;Sarcosine;C3H7NO2;89.04767847;89.0932;
HMDB00272;Phosphoserine;C3H8NO6P;185.0089235;185.0725;
HMDB00273;Thymidine;C10H14N2O5;242.0902716;242.2286;
HMDB00277;Sphingosine 1-phosphate;C18H38NO5P;379.2487598;379.4718;
HMDB00279;Saccharopine;C11H20N2O6;276.1321364;276.2863;
HMDB00280;Phosphoribosyl pyrophosphate;C5H13O14P3;389.9518147;390.0696;
HMDB00283;D-Ribose;C5H10O5;150.0528234;150.1299;
HMDB00285;Uridine triphosphate;C9H15N2O15P3;483.9685274;484.1411;
HMDB00286;Uridine diphosphate glucose;C15H24N2O17P2;566.0550204;566.3018;
HMDB00288;Uridine 5'-monophosphate;C9H13N2O9P;324.0358665;324.1813;
HMDB00289;Uric acid;C5H4N4O3;168.02834;168.1103;
HMDB00290;Uridine diphosphate-N-acetylglucosamine;C17H27N3O17P2;607.0815695;607.3537;
HMDB00291;Vanillylmandelic acid;C9H10O5;198.0528234;198.1727;
HMDB00292;Xanthine;C5H4N4O2;152.0334254;152.1109;
HMDB00293;Xanthosine 5-triphosphate;C10H15N4O15P3;523.9746754;524.1652;
HMDB00294;Urea;CH4N2O;60.03236276;60.0553;
HMDB00295;Uridine 5'-diphosphate;C9H14N2O12P2;404.0021969;404.1612;
HMDB00296;Uridine;C9H12N2O6;244.0695361;244.2014;
HMDB00299;Xanthosine;C10H12N4O6;284.0756841;284.2255;
HMDB00300;Uracil;C4H4N2O2;112.0272774;112.0868;
HMDB00301;Urocanic acid;C6H6N2O2;138.0429274;138.124;
HMDB00302;Uridine diphosphategalactose;C15H24N2O17P2;566.0550204;566.3018;
HMDB00303;Tryptamine;C10H12N2;160.1000484;160.2157;
HMDB00304;Uridine diphosphate-N-acetylgalactosamine;C17H27N3O17P2;607.0815695;607.3537;
HMDB00305;Vitamin A;C20H30O;286.2296656;286.4516;
HMDB00306;Tyramine;C8H11NO;137.084064;137.179;
HMDB00307;1b-Hydroxycholic acid;C24H40O6;424.282489;424.5708;
HMDB00308;3b-Hydroxy-5-cholenoic acid;C24H38O3;374.2820951;374.5567;
HMDB00309;3a,16b-Dihydroxyandrostenone;C19H28O3;304.2038448;304.4238;
HMDB00310;Methylacetoacetic acid;C5H8O3;116.0473441;116.1152;
HMDB00311;3b,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid;C24H40O6;424.282489;424.5708;
HMDB00312;3a,7a,12b-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00313;16b-Hydroxyestrone;C18H22O3;286.1568946;286.3655;
HMDB00314;3b-Allotetrahydrocortisol;C21H34O5;366.2406242;366.4917;
HMDB00315;16-a-Hydroxypregnenolone;C21H32O3;332.2351449;332.477;
HMDB00316;2b,3a,7a,12a-Tetrahydroxy-5b-cholanoic acid;C24H40O6;424.282489;424.5708;
HMDB00317;2-Hydroxy-3-methylpentanoic acid;C6H12O3;132.0786443;132.1577;
HMDB00318;3,4-Dihydroxyphenylglycol;C8H10O4;170.0579088;170.1626;
HMDB00319;18-Hydroxycorticosterone;C21H30O5;362.2093241;362.4599;
HMDB00320;3a,4b,7a-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00321;2-Hydroxyadipic acid;C6H10O5;162.0528234;162.1406;
HMDB00322;16-Oxoandrostenediol;C19H28O3;304.2038448;304.4238;
HMDB00323;3-Amino-2-piperidone;C5H10N2O;114.079313;114.1457;
HMDB00324;3a,16a-Dihydroxyandrostenone;C19H28O3;304.2038448;304.4238;
HMDB00325;3-Hydroxysuberic acid;C8H14O5;190.0841236;190.1938;
HMDB00326;1b,3a,12a-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00328;12-Ketodeoxycholic acid;C24H38O4;390.2770097;390.5561;
HMDB00329;2-Phenylbutyric acid;C10H12O2;164.0837296;164.2011;
HMDB00330;3a,4b,12a-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00331;3a,7b,12a-Trihydroxyoxocholanyl-Glycine;C26H43NO6;465.3090381;465.6227;
HMDB00332;18-Oxocortisol;C21H28O6;376.1885886;376.4434;
HMDB00333;Isohomovanillic acid;C9H10O4;182.0579088;182.1733;
HMDB00335;16a-Hydroxyestrone;C18H22O3;286.1568946;286.3655;
HMDB00336;(R)-3-Hydroxyisobutyric acid;C4H8O3;104.0473441;104.1045;
HMDB00337;(S)-3,4-Dihydroxybutyric acid;C4H8O4;120.0422587;120.1039;
HMDB00338;2-Hydroxyestradiol;C18H24O3;288.1725446;288.3814;
HMDB00339;2-Methylbutyrylglycine;C7H13NO3;159.0895433;159.183;
HMDB00340;3a,7a,12a,19-Tetrahydroxy-5b-cholanoic acid;C24H40O6;424.282489;424.5708;
HMDB00341;2-Octenedioic acid;C8H12O4;172.0735589;172.1785;
HMDB00343;2-Hydroxyestrone;C18H22O3;286.1568946;286.3655;
HMDB00344;2-Methoxyestradiol-3-methylether;C20H28O3;316.2038448;316.4345;
HMDB00345;3-Hydroxyadipic acid;C6H10O5;162.0528234;162.1406;
HMDB00346;3-Deoxyarabinohexonic acid;C6H12O6;180.0633881;180.1559;
HMDB00347;16b-Hydroxyestradiol;C18H24O3;288.1725446;288.3814;
HMDB00348;3b,12a-Dihydroxy-5a-cholanoic acid;C24H40O4;392.2926598;392.572;
HMDB00349;Erythrono-1,4-lactone;C4H6O4;118.0266087;118.088;
HMDB00350;3-Hydroxysebacic acid;C10H18O5;218.1154237;218.2469;
HMDB00351;3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid;C5H10O3;118.0629942;118.1311;
HMDB00352;16a-Hydroxydehydroisoandrosterone;C19H28O3;304.2038448;304.4238;
HMDB00353;3b,15b,17a-Trihydroxy-pregnenone;C21H32O4;348.2300595;348.4764;
HMDB00354;2-Methyl-3-hydroxybutyric acid;C5H10O3;118.0629942;118.1311;
HMDB00355;3-Hydroxymethylglutaric acid;C6H10O5;162.0528234;162.1406;
HMDB00356;17-Epiestriol;C18H24O3;288.1725446;288.3814;
HMDB00357;3-Hydroxybutyric acid;C4H8O3;104.0473441;104.1045;
HMDB00359;3a,7a-Dihydroxycoprostanic acid;C27H46O4;434.33961;434.6517;
HMDB00360;2,4-Dihydroxybutanoic acid;C4H8O4;120.0422587;120.1039;
HMDB00361;3b,7a-Dihydroxy-5b-cholanoic acid;C24H40O4;392.2926598;392.572;
HMDB00362;2-Phosphoglyceric acid;C3H7O7P;185.9929391;186.0572;
HMDB00363;17a-Hydroxypregnenolone;C21H32O3;332.2351449;332.477;
HMDB00364;3a,6a,7b-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00365;Epiandrosterone;C19H30O2;290.2245802;290.4403;
HMDB00366;2-Deoxyribonic acid;C5H10O5;150.0528234;150.1299;
HMDB00367;3a,6b,7b,12a-Tetrahydroxy-5b-cholanoic acid;C24H40O6;424.282489;424.5708;
HMDB00368;2(R)-Hydroxyadipic acid;C6H10O5;162.0528234;162.1406;
HMDB00369;3b,17b-Dihydroxyetiocholane;C19H32O2;292.2402303;292.4562;
HMDB00370;2-Amino-3-phosphonopropionic acid;C3H8NO5P;169.0140089;169.0731;
HMDB00371;1,3,12-Trihydroxycholan-24-oic acid;C24H40O5;408.2875744;408.5714;
HMDB00372;16-Oxoestrone;C18H20O3;284.1412445;284.3496;
HMDB00374;17-Hydroxyprogesterone;C21H30O3;330.2194948;330.4611;
HMDB00375;3-(3-Hydroxyphenyl)propanoic acid;C9H10O3;166.0629942;166.1739;
HMDB00376;3b,7a,12a-Trihydroxy-5a-Cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00377;3a,6b,7b,12b-Tetrahydroxy-5b-cholanoic acid;C24H40O6;424.282489;424.5708;
HMDB00378;2-Methylbutyroylcarnitine;C12H23NO4;245.1627082;245.3153;
HMDB00379;2-Methylcitric acid;C7H10O7;206.0426527;206.1501;
HMDB00380;2-Hydroxyestradiol-3-methyl ether;C19H26O3;302.1881947;302.4079;
HMDB00381;Allolithocholic acid;C24H40O3;376.2977451;376.5726;
HMDB00382;3b,17a,21-Trihydroxypregnenone;C21H32O4;348.2300595;348.4764;
HMDB00383;3a,17a-Dihydroxy-5b-androstane;C19H32O2;292.2402303;292.4562;
HMDB00384;3a,7a-Dihydroxycholanoic acid;C24H40O4;392.2926598;392.572;
HMDB00385;12a-Hydroxy-3-oxocholadienic acid;C24H34O4;386.2457096;386.5244;
HMDB00386;3b,16a-Dihydroxyandrostenone sulfate;C19H28O6S;384.1606593;384.487;
HMDB00387;3-Hydroxydodecanoic acid;C12H24O3;216.1725446;216.3172;
HMDB00388;3a,16-Dihydroxyandrostenone;C19H28O3;304.2038448;304.4238;
HMDB00389;2'-Deoxysepiapterin;C9H11N5O2;221.0912746;221.2159;
HMDB00390;3a,7b,12b-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00391;7-Ketodeoxycholic acid;C24H38O5;406.2719243;406.5555;
HMDB00392;2-Octenoic acid;C8H14O2;142.0993797;142.1956;
HMDB00393;3-Hexenedioic acid;C6H8O4;144.0422587;144.1253;
HMDB00394;3-Hydroxytetradecanedioic acid;C14H26O5;274.1780239;274.3532;
HMDB00395;3b,7b,12a-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00396;2-Ethylhydracrylic acid;C5H10O3;118.0629942;118.1311;
HMDB00397;2-Pyrocatechuic acid;C7H6O4;154.0266087;154.121;
HMDB00398;3-Oxoadipic acid;C6H8O5;160.0371734;160.1247;
HMDB00399;3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid;C24H40O6;424.282489;424.5708;
HMDB00400;3,7-Dihydroxy-12-oxocholanoic acid;C24H38O5;406.2719243;406.5555;
HMDB00401;2,8-Dihydroxyadenine;C5H5N5O2;167.0443244;167.1255;
HMDB00402;2-Isopropylmalic acid;C7H12O5;176.0684735;176.1672;
HMDB00403;2-Hydroxyadenine;C5H5N5O;151.0494098;151.1261;
HMDB00404;2b,3a,7a-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00405;2-Methoxyestradiol;C19H26O3;302.1881947;302.4079;
HMDB00406;16-Ketoestradiol;C18H22O3;286.1568946;286.3655;
HMDB00407;2-Hydroxy-3-methylbutyric acid;C5H10O3;118.0629942;118.1311;
HMDB00408;2-Methyl-3-ketovaleric acid;C6H10O3;130.0629942;130.1418;
HMDB00409;(5R)-5-Hydroxyhexanoic acid;C6H12O3;132.0786443;132.1577;
HMDB00410;3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid;C5H10O3;118.0629942;118.1311;
HMDB00411;3a,12b-Dihydroxy-5b-cholanoic acid;C24H40O4;392.2926598;392.572;
HMDB00412;3b,17a-Dihydroxy-5a-androstane;C19H32O2;292.2402303;292.4562;
HMDB00413;3-Hydroxydodecanedioic acid;C12H22O5;246.1467238;246.3001;
HMDB00414;1b,3a,7a-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00415;3a,6b,7b-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00416;17-Hydroxypregnenolone sulfate;C21H32O6S;412.1919594;412.54;
HMDB00417;3D,7D,11D-Phytanic acid;C20H40O2;312.3028305;312.5304;
HMDB00418;18-Hydroxycortisol;C21H30O6;378.2042387;378.4593;
HMDB00419;3b,7a,12a-Trihydroxy-5b-cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00421;2,3-Dihydroxyvaleric acid;C5H10O4;134.0579088;134.1305;
HMDB00422;2-Methylglutaric acid;C6H10O4;146.0579088;146.1412;
HMDB00423;3,4-Dihydroxyhydrocinnamic acid;C9H10O4;182.0579088;182.1733;
HMDB00424;2-Hydroxydecanedioic acid;C10H18O5;218.1154237;218.2469;
HMDB00425;3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid;C9H16O9;268.0794321;268.2179;
HMDB00426;Citramalic acid;C5H8O5;148.0371734;148.114;
HMDB00427;3b,7b,12a-Trihydroxy-5a-Cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00428;3-Hydroxyglutaric acid;C5H8O5;148.0371734;148.114;
HMDB00429;17a-Estradiol;C18H24O2;272.17763;272.382;
HMDB00430;24,25-Dihydroxyvitamin D;C27H44O3;416.3290453;416.6365;
HMDB00431;16,17-Epiestriol;C18H24O3;288.1725446;288.3814;
HMDB00432;3a,7b,12a-Trihydroxy-5a-Cholanoic acid;C24H40O5;408.2875744;408.5714;
HMDB00433;1,3,7,12-Tetrahydroxycholan-24-oic acid;C24H40O6;424.282489;424.5708;
HMDB00434;Homoveratric acid;C10H12O4;196.0735589;196.1999;
HMDB00437;3a,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid;C24H40O6;424.282489;424.5708;
HMDB00438;3b,12a-Dihydroxy-5b-cholanoic acid;C24H40O4;392.2926598;392.572;
HMDB00439;2-Furoylglycine;C7H7NO4;169.0375077;169.1348;
HMDB00440;3-Hydroxyphenylacetic acid;C8H8O3;152.0473441;152.1473;
HMDB00442;(S)-3-Hydroxybutyric acid;C4H8O3;104.0473441;104.1045;
HMDB00444;3-Furoic acid;C5H4O3;112.016044;112.0835;
HMDB00445;Alpha-Tetrasaccharide;C26H45NO20;691.2534929;691.6302;
HMDB00446;N-Alpha-acetyllysine;C8H16N2O3;188.1160924;188.2242;
HMDB00447;7a,12a-Dihydroxy-3-oxo-4-cholenoic acid;C24H36O5;404.2562743;404.5396;
HMDB00448;Adipic acid;C6H10O4;146.0579088;146.1412;
HMDB00449;5a-Tetrahydrocorticosterone;C21H34O4;350.2457096;350.4923;
HMDB00450;5-Hydroxylysine;C6H14N2O3;162.1004423;162.187;
HMDB00451;cis-4-Hydroxycyclohexylacetic acid;C8H14O3;158.0942943;158.195;
HMDB00452;L-Alpha-aminobutyric acid;C4H9NO2;103.0633285;103.1198;
HMDB00453;Delta-Hexanolactone;C6H10O2;114.0680796;114.1424;
HMDB00455;Allocystathionine;C7H14N2O4S;222.0674276;222.262;
HMDB00458;5a-Androstane-3a,17a-diol;C19H32O2;292.2402303;292.4562;
HMDB00459;3-Methylcrotonylglycine;C7H11NO3;157.0738932;157.1671;
HMDB00460;7-Hydroxy-3-oxocholanoic acid;C24H38O4;390.2770097;390.5561;
HMDB00462;Allantoin;C4H6N4O3;158.0439901;158.1154;
HMDB00464;Calcium;Ca;39.96259116;40.078;
HMDB00466;3-Methylindole;C9H9N;131.0734993;131.1745;
HMDB00467;Nutriacholic acid;C24H38O4;390.2770097;390.5561;
HMDB00468;Biopterin;C9H11N5O3;237.0861892;237.2153;
