# ID will be use to load map from url			
# subsystem name_id must be a valid name in the subsystem table			
# filename must be a .svg with only [a-zA-Z0-9_] characters			
#NAME_ID	subsystem name_id	name	filename
#sce00071_fatty_acid_degradation	sce00071_fatty_acid_degradation	Fatty acid degradation	fatty_acid_degradation.svg
#sce01212_fatty_acid_metabolism	sce01212_fatty_acid_metabolism	Fatty acid metabolism	fatty_acid_metabolism.svg
#sce04146_peroxisome	sce04146_peroxisome	Peroxisome	peroxisome.svg
#sce00072_synthesis_and_degradation_of_ketone_bodies	sce00072_synthesis_and_degradation_of_ketone_bodies	Synthesis and degradation of ketone bodies	synthesis_and_degradation_of_ketone_bodies.svg
#sce00310_lysine_degradation	sce00310_lysine_degradation	Lysine degradation	lysine_metabolism.svg
sce00900_terpenoid_backbone_biosynthesis	sce00900_terpenoid_backbone_biosynthesis	Terpenoid backbone biosynthesis	terpenoid_backbone_biosynthesis.svg
sce00061_fatty_acid_biosynthesis	sce00061_fatty_acid_biosynthesis	Fatty acid biosynthesis	fatty_acid_biosynthesis.svg
sce00780_biotin_metabolism	sce00780_biotin_metabolism	Biotin metabolism	biotin_metabolism.svg
sce00220_arginine_biosynthesis	sce00220_arginine_biosynthesis	Arginine biosynthesis	arginine_biosynthesis.svg
sce00730_thiamine_metabolism	sce00730_thiamine_metabolism	Thiamine metabolism	thiamine_metabolism.svg
#sce04111_cell_cycle_yeast	sce04111_cell_cycle_yeast	Cell cycle - yeast	cell_cycle_yeast.svg
sce00100_steroid_biosynthesis	sce00100_steroid_biosynthesis	Steroid biosynthesis	steroid_biosynthesis.svg
#sce01110_biosynthesis_of_secondary_metabolites	sce01110_biosynthesis_of_secondary_metabolites	Biosynthesis of secondary metabolites	biosynthesis_of_secondary_metabolites.svg
sce01040_biosynthesis_of_unsaturated_fatty_acids	sce01040_biosynthesis_of_unsaturated_fatty_acids	Biosynthesis of unsaturated fatty acids	biosynthesis_of_unsaturated_fatty_acids.svg
# GPI anchor, no reaction in common			
sce00563_glycosylphosphatidylinositol_gpi_anchor_biosynthesis	sce00563_glycosylphosphatidylinositol_gpi_anchor_biosynthesis	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	glycosylphosphatidylinositol_gpi_anchor_biosynthesis.svg
#sce04113_meiosis_yeast	sce04113_meiosis_yeast	Meiosis - yeast	meiosis_yeast.svg
#sce04213_longevity_regulating_pathway_multiple_species	sce04213_longevity_regulating_pathway_multiple_species	Longevity regulating pathway - multiple species	longevity_regulating_pathway_multiple_species.svg
