# ID will be use to load map from url
# subsystem name_id must be a valid name in the subsystem table
# filename must be a .svg with only [a-zA-Z0-9_] characters

#NAME_ID	subsystem name_id	name	filename
cholesterol_biosynthesis_2	cholesterol_biosynthesis_2	Cholesterol biosynthesis 2	cholesterol_biosynthesis_2.svg
fatty_acid_biosynthesis_even_chain	fatty_acid_biosynthesis_even_chain	Fatty acid biosynthesis (even-chain)	fatty_acid_biosynthesis_even_chain.svg
cholesterol_biosynthesis_3_kandustch_russell_pathway	cholesterol_biosynthesis_3_kandustch_russell_pathway	Cholesterol biosynthesis 3 (Kandustch-Russell pathway)	cholesterol_biosynthesis_3_kandustch_russell_pathway.svg
thiamine_metabolism	thiamine_metabolism	Thiamine metabolism	thiamine_metabolism.svg
cholesterol_biosynthesis_1_bloch_pathway	cholesterol_biosynthesis_1_bloch_pathway	Cholesterol biosynthesis 1 (Bloch pathway)	cholesterol_biosynthesis_1_bloch_pathway.svg
arachidonic_acid_metabolism	arachidonic_acid_metabolism	Arachidonic acid metabolism	arachidonic_acid_metabolism.svg
leukotriene_metabolism	leukotriene_metabolism	Leukotriene metabolism	leukotriene_metabolism.svg
fatty_acid_biosynthesis_unsaturated	fatty_acid_biosynthesis_unsaturated	Fatty acid biosynthesis (unsaturated)	fatty_acid_biosynthesis_unsaturated.svg
artificial_reactions	artificial_reactions	Artificial reactions	artificial_reactions.svg
fatty_acid_desaturation_odd_chain	fatty_acid_desaturation_odd_chain	Fatty acid desaturation (odd-chain)	fatty_acid_desaturation_odd_chain.svg
folate_metabolism	folate_metabolism	Folate metabolism	folate_metabolism.svg
fatty_acid_elongation_even_chain	fatty_acid_elongation_even_chain	Fatty acid elongation (even-chain)	fatty_acid_elongation_even_chain.svg
formation_and_hydrolysis_of_cholesterol_esters	formation_and_hydrolysis_of_cholesterol_esters	Formation and hydrolysis of cholesterol esters	formation_and_hydrolysis_of_cholesterol_esters.svg
glucocorticoid_biosynthesis	glucocorticoid_biosynthesis	Glucocorticoid biosynthesis	glucocorticoid_biosynthesis.svg
omega_6_fatty_acid_metabolism	omega_6_fatty_acid_metabolism	Omega-6 fatty acid metabolism	omega_6_fatty_acid_metabolism.svg
pantothenate_and_coa_biosynthesis	pantothenate_and_coa_biosynthesis	Pantothenate and CoA biosynthesis	pantothenate_and_coa_biosynthesis.svg
porphyrin_metabolism	porphyrin_metabolism	Porphyrin metabolism	porphyrin_metabolism.svg
protein_degradation	protein_degradation	Protein degradation	protein_degradation.svg
carnitine_shuttle_endoplasmic_reticular	carnitine_shuttle_endoplasmic_reticular	Carnitine shuttle (endoplasmic reticular)	carnitine_shuttle_endoplasmic_reticular.svg
fatty_acid_activation_endoplasmic_reticular	fatty_acid_activation_endoplasmic_reticular	Fatty acid activation (endoplasmic reticular)	fatty_acid_activation_endoplasmic_reticular.svg
carnitine_shuttle_peroxisomal	carnitine_shuttle_peroxisomal	Carnitine shuttle (peroxisomal)	carnitine_shuttle_peroxisomal.svg
